code,kind,term,parent_id,modifier_4,modifier_5
I,chapter,Certain infectious and parasitic diseases,,,
A00-A09,block,Intestinal infectious diseases,I,,
A00,category,Cholera,A00-A09,,
A000,category,"Cholera due to Vibrio cholerae 01, biovar cholerae",A00,,
A001,category,"Cholera due to Vibrio cholerae 01, biovar eltor",A00,,
A009,category,"Cholera, unspecified",A00,,
A01,category,Typhoid and paratyphoid fevers,A00-A09,,
A010,category,Typhoid fever,A01,,
A011,category,Paratyphoid fever A,A01,,
A012,category,Paratyphoid fever B,A01,,
A013,category,Paratyphoid fever C,A01,,
A014,category,"Paratyphoid fever, unspecified",A01,,
A02,category,Other salmonella infections,A00-A09,,
A020,category,Salmonella enteritis,A02,,
A021,category,Salmonella sepsis,A02,,
A022,category,Localized salmonella infections,A02,,
A028,category,Other specified salmonella infections,A02,,
A029,category,"Salmonella infection, unspecified",A02,,
A03,category,Shigellosis,A00-A09,,
A030,category,Shigellosis due to Shigella dysenteriae,A03,,
A031,category,Shigellosis due to Shigella flexneri,A03,,
A032,category,Shigellosis due to Shigella boydii,A03,,
A033,category,Shigellosis due to Shigella sonnei,A03,,
A038,category,Other shigellosis,A03,,
A039,category,"Shigellosis, unspecified",A03,,
A04,category,Other bacterial intestinal infections,A00-A09,,
A040,category,Enteropathogenic Escherichia coli infection,A04,,
A041,category,Enterotoxigenic Escherichia coli infection,A04,,
A042,category,Enteroinvasive Escherichia coli infection,A04,,
A043,category,Enterohaemorrhagic Escherichia coli infection,A04,,
A044,category,Other intestinal Escherichia coli infections,A04,,
A045,category,Campylobacter enteritis,A04,,
A046,category,Enteritis due to Yersinia enterocolitica,A04,,
A047,category,Enterocolitis due to Clostridium difficile,A04,,
A048,category,Other specified bacterial intestinal infections,A04,,
A049,category,"Bacterial intestinal infection, unspecified",A04,,
A05,category,"Other bacterial foodborne intoxications, not elsewhere classified",A00-A09,,
A050,category,Foodborne staphylococcal intoxication,A05,,
A051,category,Botulism,A05,,
A052,category,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,A05,,
A053,category,Foodborne Vibrio parahaemolyticus intoxication,A05,,
A054,category,Foodborne Bacillus cereus intoxication,A05,,
A058,category,Other specified bacterial foodborne intoxications,A05,,
A059,category,"Bacterial foodborne intoxication, unspecified",A05,,
A06,category,Amoebiasis,A00-A09,,
A060,category,Acute amoebic dysentery,A06,,
A061,category,Chronic intestinal amoebiasis,A06,,
A062,category,Amoebic nondysenteric colitis,A06,,
A063,category,Amoeboma of intestine,A06,,
A064,category,Amoebic liver abscess (K77.0*),A06,,
A065,category,Amoebic lung abscess (J99.8*),A06,,
A066,category,Amoebic brain abscess (G07*),A06,,
A067,category,Cutaneous amoebiasis,A06,,
A068,category,Amoebic infection of other sites,A06,,
A069,category,"Amoebiasis, unspecified",A06,,
A07,category,Other protozoal intestinal diseases,A00-A09,,
A070,category,Balantidiasis,A07,,
A071,category,Giardiasis [lambliasis],A07,,
A072,category,Cryptosporidiosis,A07,,
A073,category,Isosporiasis,A07,,
A078,category,Other specified protozoal intestinal diseases,A07,,
A079,category,"Protozoal intestinal disease, unspecified",A07,,
A08,category,Viral and other specified intestinal infections,A00-A09,,
A080,category,Rotaviral enteritis,A08,,
A081,category,Acute gastroenteropathy due to Norwalk agent,A08,,
A082,category,Adenoviral enteritis,A08,,
A083,category,Other viral enteritis,A08,,
A084,category,"Viral intestinal infection, unspecified",A08,,
A085,category,Other specified intestinal infections,A08,,
A09,category,Other gastroenteritis and colitis of infectious and unspecified origin,A00-A09,,
A090,category,Other and unspecified gastroenteritis and colitis of infectious origin,A09,,
A099,category,Gastroenteritis and colitis of unspecified origin,A09,,
A15-A19,block,Tuberculosis,I,,
A15,category,"Respiratory tuberculosis, bacteriologically and histologically confirmed",A15-A19,,
A150,category,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",A15,,
A151,category,"Tuberculosis of lung, confirmed by culture only",A15,,
A152,category,"Tuberculosis of lung, confirmed histologically",A15,,
A153,category,"Tuberculosis of lung, confirmed by unspecified means",A15,,
A154,category,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",A15,,
A155,category,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",A15,,
A156,category,"Tuberculous pleurisy, confirmed bacteriologically and histologically",A15,,
A157,category,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",A15,,
A158,category,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",A15,,
A159,category,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",A15,,
A16,category,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",A15-A19,,
A160,category,"Tuberculosis of lung, bacteriologically and histologically negative",A16,,
A161,category,"Tuberculosis of lung, bacteriological and histological examination not done",A16,,
