code,term
1017196003,Interstitial pulmonary fibrosis due to inhalation of substance
1017197007,Interstitial pulmonary fibrosis due to inhalation of drug
10713006,Diffuse interstitial rheumatoid disease of lung
111280008,Rheumatoid pneumoconiosis
1163147006,Chronic fibrosis of lung caused by Aspergillus
1172606002,Idiopathic pleuroparenchymal fibroelastosis
1177007001,Fibrosis of lung due to pulmonary paracoccidioidomycosis
1177120001,Bronchiolitis obliterans syndrome due to and following allogeneic stem cell transplant
1222677008,Interstitial lung disease due to surfactant protein C deficiency
1222678003,Interstitial lung disease due to ATP-binding cassette subfamily A member 3 deficiency
1222679006,"Autoimmune interstitial lung disease, arthritis syndrome"
1228876007,Severe early-onset pulmonary alveolar proteinosis due to methionyl-transfer ribonucleic acid synthetase 1 deficiency
123592004,Acute mucous pneumonia
1259003,Schistosis
1284850005,Interstitial lung disease due to and following radiotherapy
129451001,Respiratory bronchiolitis associated interstitial lung disease
129452008,Nonspecific interstitial pneumonitis
129458007,Bronchiolitis obliterans organizing pneumonia
129459004,Acute interstitial pneumonia
13274008,Atrophic fibrosis of lung
14700006,Bauxite fibrosis of lung
155554001,Mycoplasmal pneumonia
155587002,Pneumoconiosis
155588007,Coal workers' pneumoconiosis
155600007,Radiation-induced diffuse interstitial pulmonary fibrosis
155613001,Pulmonary fibrosis
155624004,Idiopath. fibrosing alveolitis (& Hamman-Rich syndrome)
17385007,Graphite fibrosis of lung
17996008,Pneumoconiosis caused by inorganic dust
18121009,Chronic berylliosis
18354001,Chronic induration of lung
186726005,Human immunodeficiency virus disease resulting in lymphoid interstitial pneumonitis
187233002,Sarcoidosis of lung with sarcoidosis of lymph nodes
192658007,Giant cell interstitial pneumonitis
192681000000108,Cryptogenic organising pneumonitis
195894001,Mycoplasmal pneumonia
195895000,Mycoplasmal pneumonia
195896004,Pneumonia caused by pleuropneumonia-like organism
196006003,Asbestosis NOS
196009005,Massive silicotic fibrosis
196010000,Silica pneumoconiosis NOS
196011001,Pneumoconiosis due to other inorganic dust
196012008,Pneumoconiosis due to inorganic dust NOS
196016006,Pneumoconiosis NOS
196017002,Pneumoconiosis associated with tuberculosis
196027008,Toxic bronchiolitis obliterans
196028003,Chronic pulmonary fibrosis caused by chemical fumes
196044007,Complicated pneumoconiosis
196049002,Chronic pulmonary radiation disease
196051003,Drug-induced interstitial lung disorder
196053000,Chronic drug-induced interstitial lung disorders
196121006,Lung: [cirrhosis of] or [postinflammatory pulmonary fibrosis]
196122004,Other alveolar and parietoalveolar disease
196123009,Fibrosing alveolitis: [idiopathic] or [cryptogenic]) or (Hamman - Rich syndrome)
196125002,Diffuse interstitial pulmonary fibrosis
196126001,Idiopathic fibrosing alveolitis NOS
196129008,Other alveolar and parietoalveolar disease NOS
196130003,Alveolar and parietoalveolar disease NOS
196133001,Lung disease with systemic sclerosis
196135008,Pulmonary amyloidosis
196137000,Lung disease with Sjögren's disease
196161007,Interstitial lung disease NEC
196233007,[X]Pneumoconiosis due to other dust containing silica
196234001,[X]Pneumoconiosis due to other specified inorganic dusts
196245003,[X]Other respiratory diseases principally affecting the interstitium
196246002,[X]Other interstitial pulmonary diseases with fibrosis
196247006,[X]Other specified interstitial pulmonary diseases
206300003,Other specified perinatal interstitial emphysema or related condition
206313009,Prematurity with interstitial pulmonary fibrosis
22607003,Asbestosis
233621003,Rickettsial pneumonia
233623000,Mononuclear interstitial pneumonitis
233673002,Drug-induced bronchiolitis obliterans
233692000,Cryptogenic pulmonary eosinophilia
233703007,Interstitial lung disease
233713004,Seasonal cryptogenic organizing pneumonia with biochemical cholestasis
233714005,Diffuse infiltrative lung disease
233717003,Diffuse pulmonary neurofibromatosis
233718008,Pulmonary tuberous sclerosis
233721005,Usual interstitial pneumonitis
233723008,Bronchiolitis obliterans with usual interstitial pneumonitis
233724002,Toxic diffuse interstitial pulmonary fibrosis
233725001,Drug-induced diffuse interstitial pulmonary fibrosis
233726000,Localized pulmonary fibrosis
233738009,Fibrous mediastinitis caused by radiation
233748006,Simple pneumoconiosis
233749003,Complicated pneumoconiosis
233750003,Erionite pneumoconiosis
233751004,Metal pneumoconiosis
233754007,Cerium pneumoconiosis
233755008,Nickel pneumoconiosis
233756009,Thorium pneumoconiosis
233757000,Zirconium pneumoconiosis
233758005,Mica pneumoconiosis
233759002,Mixed mineral dust pneumoconiosis
233760007,Acute silicosis
233761006,Subacute silicosis
233762004,Chronic silicosis
233763009,Silicotuberculosis
233764003,Wollastonite pneumoconiosis
233767005,Stage 1 pulmonary sarcoidosis
233768000,Stage 2 pulmonary sarcoidosis
233769008,Stage 3 pulmonary sarcoidosis
233770009,Stage 4 pulmonary sarcoidosis
233772001,Sarcoid pulmonary calcification
234161007,Familial pulmonary capillary hemangiomatosis
236302005,Acute interstitial pneumonitis
24369008,Pulmonary sarcoidosis
26511004,Pneumoconiosis caused by sisal fiber
266368002,Post-inflammatory pulmonary fibrosis
266404004,Chronic chemical respiratory disease
266410004,Idiopath. fibrosing alveolitis (& Hamman-Rich syndrome)
276696002,Pulmonary fibroplasia
277844007,Pulmonary lymphangioleiomyomatosis
28168000,"Idiopathic fibrosing alveolitis, chronic form"
29422001,Coal workers' pneumoconiosis
30042003,Confluent fibrosis of lung
302913000,Diffuse pulmonary calcinosis
32139003,Mixed dust pneumoconiosis
328641000119109,Genetic disorder of surfactant dysfunction
328661000119108,Interstitial lung disease of childhood
33548005,Anthracosilicosis
34004002,Siderosilicosis
35037009,Primary atypical interstitial pneumonia
3514002,Peribronchial fibrosis of lung
361194002,Perinatal pulmonary fibroplasia
361195001,Pulmonary fibroplasia
361196000,Idiopathic hilar fibrosis
36599006,Chronic fibrosis of lung
36696005,Kaolinosis
370658281000119103,Acute respiratory distress syndrome due to dabbing
397981000000105,[X]Other respiratory diseases principally affecting the interstitium
397991000000107,[X]Other interstitial pulmonary diseases with fibrosis
398640008,Rheumatoid arthritis with pneumoconiosis
40122008,Pneumoconiosis
40218008,Carbon electrode makers' pneumoconiosis
40527005,Idiopathic pulmonary hemosiderosis
405570007,Pulmonary fibrosis due to and following radiotherapy
40640008,Massive fibrosis of lung co-occurrent and due to silicosis
419331000000108,[X]Other specified interstitial pulmonary diseases
426437004,Familial idiopathic pulmonary fibrosis
426853005,Pneumoconiosis caused by silicate
427123006,Interstitial lung disease due to collagen vascular disease
