code,term
J990,Rheumatoid lung disease M05.1
M05,Seropositive rheumatoid arthritis
M050,Felty syndrome
M0500,Felty syndrome - Multiple sites
M0501,Felty syndrome - Shoulder region
M0502,Felty syndrome - Upper arm
M0503,Felty syndrome - Forearm
M0504,Felty syndrome - Hand
M0505,Felty syndrome - Pelvic region and thigh
M0506,Felty syndrome - Lower leg
M0507,Felty syndrome - Ankle and foot
M0508,Felty syndrome - Other
M0509,Felty syndrome - Site unspecified
M051,Rheumatoid lung disease J99.0
M0510,Rheumatoid lung disease (J99.0*) - Multiple sites
M0511,Rheumatoid lung disease (J99.0*) - Shoulder region
M0512,Rheumatoid lung disease (J99.0*) - Upper arm
M0513,Rheumatoid lung disease (J99.0*) - Forearm
M0514,Rheumatoid lung disease (J99.0*) - Hand
M0515,Rheumatoid lung disease (J99.0*) - Pelvic region and thigh
M0516,Rheumatoid lung disease (J99.0*) - Lower leg
M0517,Rheumatoid lung disease (J99.0*) - Ankle and foot
M0518,Rheumatoid lung disease (J99.0*) - Other
M0519,Rheumatoid lung disease (J99.0*) - Site unspecified
M052,Rheumatoid vasculitis
M0520,Rheumatoid vasculitis - Multiple sites
M0521,Rheumatoid vasculitis - Shoulder region
M0522,Rheumatoid vasculitis - Upper arm
M0523,Rheumatoid vasculitis - Forearm
M0524,Rheumatoid vasculitis - Hand
M0525,Rheumatoid vasculitis - Pelvic region and thigh
M0526,Rheumatoid vasculitis - Lower leg
M0527,Rheumatoid vasculitis - Ankle and foot
M0528,Rheumatoid vasculitis - Other
M0529,Rheumatoid vasculitis - Site unspecified
M053,Rheumatoid arthritis with involvement of other organs and systems
M0530,Rheumatoid arthritis with involvement of other organs and systems - Multiple sites
M0531,Rheumatoid arthritis with involvement of other organs and systems - Shoulder region
M0532,Rheumatoid arthritis with involvement of other organs and systems - Upper arm
M0533,Rheumatoid arthritis with involvement of other organs and systems - Forearm
M0534,Rheumatoid arthritis with involvement of other organs and systems - Hand
M0535,Rheumatoid arthritis with involvement of other organs and systems - Pelvic region and thigh
M0536,Rheumatoid arthritis with involvement of other organs and systems - Lower leg
M0537,Rheumatoid arthritis with involvement of other organs and systems - Ankle and foot
M0538,Rheumatoid arthritis with involvement of other organs and systems - Other
