code,term
M45,Ankylosing spondylitis
M45X0,Ankylosing spondylitis - Multiple sites in spine
M45X1,Ankylosing spondylitis - Occipito-atlanto-axial region
M45X2,Ankylosing spondylitis - Cervical region
M45X3,Ankylosing spondylitis - Cervicothoracic region
M45X4,Ankylosing spondylitis - Thoracic region
M45X5,Ankylosing spondylitis - Thoracolumbar region
M45X6,Ankylosing spondylitis - Lumbar region
M45X7,Ankylosing spondylitis - Lumbosacral region
M45X8,Ankylosing spondylitis - Sacral and sacrococcygeal region
M45X9,Ankylosing spondylitis - Site unspecified
